Team;Time;Consumption in KW;Consuption in euro;Appliance;;;;;;;
Krhtikoi;20180207;5,48;0,73;Oven;;;;;;;
Krhtikoi;20180201;0,35;0,05;Television;;;;;;;
Krhtikoi;20180202;0,35;0,05;Television;;;;;;;
Krhtikoi;20180203;0,35;0,05;Television;;;;;;;
Krhtikoi;20180204;0,35;0,05;Television;;;;;;;
Krhtikoi;20180205;0,35;0,05;Television;;;;;;;
Krhtikoi;20180206;0,35;0,05;Television;;;;;;;
Krhtikoi;20180207;0,35;0,05;Television;;;;;;;
Krhtikoi;20180201;0,9;1,238;Toaster;;;;;;;
Krhtikoi;20180202;1,5;0,757;Toaster;;;;;;;
Krhtikoi;20180203;0,9;1,238;Toaster;;;;;;;
Krhtikoi;20180204;0,9;1,238;Toaster;;;;;;;
Krhtikoi;20180205;0,9;1,238;Toaster;;;;;;;
Krhtikoi;20180206;0,9;1,238;Toaster;;;;;;;
Krhtikoi;20180207;0,9;1,238;Toaster;;;;;;;
Peloponisioi;20180201;12;1,8;Air-condition;;;;;;;
Peloponisioi;20180202;6;0,9;Air-condition;;;;;;;
Peloponisioi;20180203;12;1,8;Air-condition;;;;;;;
Peloponisioi;20180204;12;1,8;Air-condition;;;;;;;
Peloponisioi;20180205;12;1,8;Air-condition;;;;;;;
Peloponisioi;20180206;6;0,9;Air-condition;;;;;;;
Peloponisioi;20180207;3;0,45;Air-condition;;;;;;;   
Peloponisioi;20180203;0,25;0,035;Computer;;;;;;;
Peloponisioi;20180204;0,25;0,035;Computer;;;;;;;
Peloponisioi;20180205;0,25;0,035;Computer;;;;;;;
Peloponisioi;20180206;0,25;0,035;Computer;;;;;;;
Peloponisioi;20180207;0,25;0,035;Computer;;;;;;;
Peloponisioi;20180201;0,25;0,035;Computer;;;;;;;
Peloponisioi;20180202;0,25;0,035;Computer;;;;;;;
Peloponisioi;20180205;3,2;0,4;Dish Washer;;;;;;;
Peloponisioi;20180206;1,6;0,2;Dish Washer;;;;;;;
Peloponisioi;20180207;1,6;0,2;Dish Washer;;;;;;;
Peloponisioi;20180201;1,6;0,2;Dish Washer;;;;;;;
Peloponisioi;20180202;1,6;0,2;Dish Washer;;;;;;;
Peloponisioi;20180203;1,6;0,2;Dish Washer;;;;;;;
Peloponisioi;20180204;1,6;0,2;Dish Washer;;;;;;;
Peloponisioi;20180207;2,6;0,33;Dryer;;;;;;;
Peloponisioi;20180201;1,3;0,165;Dryer;;;;;;;
Peloponisioi;20180202;0;0;Dryer;;;;;;;
Peloponisioi;20180203;2,6;0,33;Dryer;;;;;;;
Peloponisioi;20180204;3,9;0,495;Dryer;;;;;;;
Peloponisioi;20180205;0;0;Dryer;;;;;;;
Peloponisioi;20180206;1,3;0,165;Dryer;;;;;;;
Peloponisioi;20180202;0,5;0,07;Fridge-Freezer;;;;;;;
Peloponisioi;20180203;0,5;0,07;Fridge-Freezer;;;;;;;
Peloponisioi;20180204;0,5;0,07;Fridge-Freezer;;;;;;;
Peloponisioi;20180205;0,5;0,07;Fridge-Freezer;;;;;;;
Peloponisioi;20180206;0,5;0,07;Fridge-Freezer;;;;;;;
Peloponisioi;20180207;0,5;0,07;Fridge-Freezer;;;;;;;
Peloponisioi;20180201;0,5;0,07;Fridge-Freezer;;;;;;;
Peloponisioi;20180204;0;0;Microwave Oven;;;;;;;
Peloponisioi;20180205;0,12;0,018;Microwave Oven;;;;;;;
Peloponisioi;20180206;0,36;0,054;Microwave Oven;;;;;;;
Peloponisioi;20180207;0,24;0,036;Microwave Oven;;;;;;;
Peloponisioi;20180201;0;0;Microwave Oven;;;;;;;
Peloponisioi;20180202;0,12;0,18;Microwave Oven;;;;;;;
Peloponisioi;20180203;0;0;Microwave Oven;;;;;;;
Peloponisioi;20180206;5,48;0,73;Oven;;;;;;;
Peloponisioi;20180207;2,25;0,28;Oven;;;;;;;
Peloponisioi;20180201;5,48;0,73;Oven;;;;;;;
Peloponisioi;20180202;5,48;0,73;Oven;;;;;;;
Peloponisioi;20180203;5,48;0,73;Oven;;;;;;;
Peloponisioi;20180204;5,48;0,73;Oven;;;;;;;
Peloponisioi;20180205;5,48;0,73;Oven;;;;;;;
Peloponisioi;20180206;0,25;0,035;Oven;;;;;;;
Peloponisioi;20180207;0,25;0,035;Oven;;;;;;;
Peloponisioi;20180201;0,25;0,035;Television;;;;;;;
Peloponisioi;20180202;0,25;0,035;Television;;;;;;;
Peloponisioi;20180203;0,25;0,035;Television;;;;;;;
Peloponisioi;20180204;0,25;0,035;Television;;;;;;;
Peloponisioi;20180205;0,25;0,035;Television;;;;;;;
Peloponisioi;20180206;0,4;0,055;Television;;;;;;;
Peloponisioi;20180207;0;0;Television;;;;;;;
Peloponisioi;20180201;0,4;0,055;Toaster;;;;;;;
Peloponisioi;20180202;0,4;0,055;Toaster;;;;;;;
Peloponisioi;20180203;0,4;0,055;Toaster;;;;;;;
Peloponisioi;20180204;0,4;0,055;Toaster;;;;;;;
Peloponisioi;20180205;0,4;0,055;Toaster;;;;;;;
Peloponisioi;20180206;0;0;Toaster;;;;;;;
Peloponisioi;20180207;1,4;0,17;Toaster;;;;;;;
