Team;Time;Daily consumption in KW;Cost per day in euro;Appliances
Krhtikoi;20180204;5;0,61;Washing Machine
Krhtikoi;20180204;5,2;0,66;Water heater
Krhtikoi;20180205;12;1,8;Air-condition
Krhtikoi;20180205;1,5;0,21;Computer
Krhtikoi;20180205;1,3;0,18;Dish Washer
Krhtikoi;20180205;1,3;0,165;Dryer
Krhtikoi;20180205;1;0,14;Fridge-Freezer
Krhtikoi;20180205;0,12;1;Microwave Oven
Krhtikoi;20180205;5,48;0,73;Oven
Krhtikoi;20180205;0,35;0,05;Television
Krhtikoi;20180205;0,9;0,124;Toaster
Krhtikoi;20180205;1,4;0,17;Washing Machine
Krhtikoi;20180205;7,8;0,99;Water heater
Krhtikoi;20180206;10;1,5;Air-condition
Krhtikoi;20180206;1,5;0,21;Computer
Krhtikoi;20180206;1,3;0,18;Dish Washer
Krhtikoi;20180206;2,6;0,33;Dryer
Krhtikoi;20180206;1;0,14;Fridge-Freezer
Krhtikoi;20180206;0,9;0,075;Microwave Oven
Krhtikoi;20180206;5,48;0,73;Oven
Krhtikoi;20180206;0,35;0,05;Television
Krhtikoi;20180206;0,9;0,124;Toaster
Krhtikoi;20180206;3,2;0,39;Washing Machine
Krhtikoi;20180206;7,8;0,99;Water heater
Krhtikoi;20180207;18;2,7;Air-condition
Krhtikoi;20180207;1,5;0,21;Computer
Krhtikoi;20180207;1,3;0,18;Dish Washer
Krhtikoi;20180207;5,2;0,66;Dryer
Krhtikoi;20180207;1;0,14;Fridge-Freezer
Krhtikoi;20180207;0;0;Microwave Oven
Krhtikoi;20180207;5,48;0,73;Oven
Krhtikoi;20180207;0,35;0,05;Television
Krhtikoi;20180207;0,9;0,124;Toaster
Krhtikoi;20180207;6,8;0,83;Washing Machine
Krhtikoi;20180207;5,2;0,66;Water heater
Pelloponisioi;20180201;20;3;Air-condition
Pelloponisioi;20180201;1,5;0,21;Computer
Pelloponisioi;20180201;3,2;0,4;Dish Washer
Pelloponisioi;20180201;3,9;0,495;Dryer
Pelloponisioi;20180201;1,06;0,148;Fridge-Freezer
Pelloponisioi;20180201;0,12;0,001;Microwave Oven
Pelloponisioi;20180201;5,48;0,73;Oven
Pelloponisioi;20180201;0,32;0,045;Television
Pelloponisioi;20180201;0,9;0,124;Toaster
Pelloponisioi;20180201;1,8;0,22;Washing Machine
Pelloponisioi;20180201;7,8;0,99;Water heater
Pelloponisioi;20180202;14;2,1;Air-condition
Pelloponisioi;20180202;1,75;0,245;Computer
Pelloponisioi;20180202;2,9;0,38;Dish Washer
Pelloponisioi;20180202;1,3;0,165;Dryer
Pelloponisioi;20180202;1,06;0,148;Fridge-Freezer
Pelloponisioi;20180202;0,36;0,218;Microwave Oven
Pelloponisioi;20180202;5,48;0,73;Oven
Pelloponisioi;20180202;0,32;0,045;Television
Pelloponisioi;20180202;0,45;0,019;Toaster
Pelloponisioi;20180202;1,4;0,17;Washing Machine
Pelloponisioi;20180202;10,4;1,32;Water heater
Pelloponisioi;20180203;20;3;Air-condition
Pelloponisioi;20180203;1,5;0,21;Computer
Pelloponisioi;20180203;1,6;0,2;Dish Washer
Pelloponisioi;20180203;1,3;0,165;Dryer
Pelloponisioi;20180203;1,06;0,148;Fridge-Freezer
Pelloponisioi;20180203;0,48;0,072;Microwave Oven
Pelloponisioi;20180203;5,48;0,73;Oven
Pelloponisioi;20180203;0,32;0,045;Television
Pelloponisioi;20180203;0,9;0,124;Toaster
Pelloponisioi;20180203;1,8;0,22;Washing Machine
Pelloponisioi;20180203;6,6;0,838;Water heater
Pelloponisioi;20180204;20;3;Air-condition
Pelloponisioi;20180204;1,5;0,21;Computer
Pelloponisioi;20180204;1,6;0,2;Dish Washer
Pelloponisioi;20180204;3,9;0,495;Dryer
Pelloponisioi;20180204;1,06;0,148;Fridge-Freezer
Pelloponisioi;20180204;0,36;0,054;Microwave Oven
Pelloponisioi;20180204;5,48;0,73;Oven
Pelloponisioi;20180204;0,32;0,045;Television
Pelloponisioi;20180204;0,9;0,124;Toaster
Pelloponisioi;20180204;4,6;0,56;Washing Machine
Pelloponisioi;20180204;7,8;0,99;Water heater
Pelloponisioi;20180205;20;3;Air-condition
Pelloponisioi;20180205;1,5;0,21;Computer
Pelloponisioi;20180205;1,6;0,2;Dish Washer
Pelloponisioi;20180205;5,2;0,66;Dryer
Pelloponisioi;20180205;1,06;0,148;Fridge-Freezer
Pelloponisioi;20180205;0,12;0,018;Microwave Oven
Pelloponisioi;20180205;5,48;0,73;Oven
Pelloponisioi;20180205;0,32;0,045;Television
Pelloponisioi;20180205;0,9;0,124;Toaster
Pelloponisioi;20180205;6;0,73;Washing Machine
Pelloponisioi;20180205;5,2;0,66;Water heater
Pelloponisioi;20180206;14;2,1;Air-condition
Pelloponisioi;20180206;1,5;0,21;Computer
Pelloponisioi;20180206;1,6;0,2;Dish Washer
Pelloponisioi;20180206;1,3;0,165;Dryer
Pelloponisioi;20180206;1,06;0,148;Fridge-Freezer
Pelloponisioi;20180206;0,24;0,198;Microwave Oven
Pelloponisioi;20180206;10,96;1,46;Oven
Pelloponisioi;20180206;0,32;0,045;Television
Pelloponisioi;20180206;0,9;0,124;Toaster
Pelloponisioi;20180206;1,8;0,22;Washing Machine
Pelloponisioi;20180206;10,4;1,32;Water heater
Pelloponisioi;20180207;11;1,65;Air-condition
Pelloponisioi;20180207;1,5;0,21;Computer
Pelloponisioi;20180207;1,6;0,2;Dish Washer
Pelloponisioi;20180207;2,6;0,33;Dryer
Pelloponisioi;20180207;1,06;0,148;Fridge-Freezer
Pelloponisioi;20180207;0,12;0,018;Microwave Oven
Pelloponisioi;20180207;8,71;1,18;Oven
Pelloponisioi;20180207;0,32;0,045;Television
Pelloponisioi;20180207;0,9;0,124;Toaster
Pelloponisioi;20180207;3,2;0,39;Washing Machine
Pelloponisioi;20180207;5,2;0,66;Water heater
